timestamp,mmsi,name,latitude,longitude,speed,course,vessel_type,country
2025-09-19T13:57:15.621676,109080479,ANGELSEN SR,68.808177,13.148163,1.7,204.0,0,
2025-09-19T13:57:15.621679,109080480,ANGELSEN SR,68.801382,13.048137,1.1,0.0,0,
2025-09-19T13:57:15.621684,109080481,ANGELSEN SR,68.796903,13.096223,1.3,125.8,0,
2025-09-19T13:57:15.621688,109080485,ANGELSEN SR,68.797933,13.118127,1.2,209.9,0,
2025-09-19T13:57:15.621696,109080673,ANGELSEN SR,68.721557,13.056052,1.2,64.6,0,
2025-09-19T13:57:15.621700,109080675,ANGELSEN SR,68.798727,13.057763,1.4,68.3,0,
2025-09-19T13:57:15.621734,244178000,SHETLAND,65.987683,11.2451,10.5,201.9,70,
2025-09-19T13:57:15.621746,235051012,NAVAL AUXILIARY,70.210767,20.157117,12.2,308.0,35,
2025-09-19T13:57:15.621751,563175900,ARMADA 78 03,66.87333333333333,5.2683333333333335,7.0,303.0,70,
2025-09-19T13:57:15.621822,218004830,JAN MARIA,69.698007,19.075275,0.0,36.3,30,
2025-09-19T13:57:15.621840,273522400,ZAKHAR SOROKIN,70.711967,18.962817,12.2,45.4,30,
2025-09-19T13:57:15.621845,273447010,ALFERAS,72.04166666666667,25.383333333333333,9.0,313.0,30,
2025-09-19T13:57:15.621881,276842000,MERIKE,76.191615,35.698747,2.5,233.6,30,
2025-09-19T13:57:15.621891,273296810,DMITRY MENDELEEV,67.171202,8.885482,11.2,24.1,80,
2025-09-19T13:57:15.621896,314633000,WILSON DROGHEDA,66.212315,13.018448,0.0,148.2,70,
2025-09-19T13:57:15.621913,273523300,ALEKSANDR MIRONENKO,71.111152,29.835412,9.7,125.6,30,
2025-09-19T13:57:15.621920,232866000,M/S ISBJORNEN 2,69.687467,18.735392,0.0,350.5,90,
2025-09-19T13:57:15.621931,273523400,YANTARNYY,70.24666666666667,15.11,13.0,62.0,30,
2025-09-19T13:57:15.621942,212651000,ELISABETH J,67.80002,9.423442,13.7,209.3,80,
2025-09-19T13:57:15.621969,982575641,MUNIN,78.223223,15.661977,0.2,,92,
2025-09-19T13:57:15.622018,314635000,WILSON DUNDEE,66.327825,14.1435,0.0,252.7,70,
2025-09-19T13:57:15.622029,109010419,RONJA BOUY 9,70.93246,25.80116,3.5,43.4,0,
2025-09-19T13:57:15.622067,565369000,COSL PROSPECTOR,70.626973,23.641692,0.0,261.4,90,
2025-09-19T13:57:15.622099,212654000,BORIS VILKITSKY,67.735778,9.32672,18.3,205.1,84,
2025-09-19T13:57:15.622158,255801980,DINA STAR,67.037452,6.501078,0.9,243.8,70,
2025-09-19T13:57:15.622197,563033300,DANCING BRAVE,66.821513,13.684962,13.4,271.2,80,
2025-09-19T13:57:15.622224,273529800,BORIS SYROMYATNIKOV,70.799937,20.602953,2.7,335.4,30,
2025-09-19T13:57:15.622246,412549626,FU YUAN YU 8633,66.88833333333334,4.3,57.0,164.0,30,
2025-09-19T13:57:15.622250,412549628,FUYUANYU8620,68.41000000000001,-3.26,60.0,234.0,30,
2025-09-19T13:57:15.622269,273379740,FRIO FORWIN,71.12199,19.449545,10.0,67.9,70,
2025-09-19T13:57:15.622280,211753000,MARIA S. MERIAN,67.283202,3.212178,4.5,61.1,90,
2025-09-19T13:57:15.622321,273532110,KURSHSKAYA KOSA,70.5964,19.04355,3.6,298.5,30,
2025-09-19T13:57:15.622339,314416000,JUMBO,69.222892,18.079278,0.0,233.8,70,
2025-09-19T13:57:15.622357,231065000,SJOBORG,70.667985,23.664385,0.0,280.2,70,
2025-09-19T13:57:15.622361,231065001,FRB SJOBORG,70.667955,23.664985,0.2,,51,
2025-09-19T13:57:15.622370,255806445,VASCO DA GAMA,70.470783,18.45445,12.2,66.3,60,
2025-09-19T13:57:15.622374,255806463,WILSON FLEX IV,67.250225,15.422983,0.0,115.2,70,
2025-09-19T13:57:15.622415,273534110,LIRA,70.669067,19.820867,15.0,72.0,30,
2025-09-19T13:57:15.622456,982586740,OV SKOMVAER 2,68.795357,16.54408,0.1,,33,
2025-09-19T13:57:15.622477,210400000,SEAPIPER,66.079658,8.063753,0.4,357.7,33,
2025-09-19T13:57:15.622485,108040274,SF JENTA BUOY,70.12759,30.54851,1.4,145.9,0,
2025-09-19T13:57:15.622527,304011026,THEBE,66.306355,14.116077,0.0,298.0,70,
2025-09-19T13:57:15.622531,250002443,ARKLOW FOREST,66.805597,13.920215,3.6,84.5,70,
2025-09-19T13:57:15.622540,231522000,HAV ATLANTIC,68.912707,15.06557,0.0,329.5,70,
2025-09-19T13:57:15.622572,273537800,KARACHAROVO,76.098148,14.420127,2.7,189.0,30,
2025-09-19T13:57:15.622594,273613930,BELOYE MORE,75.785405,14.01886,1.2,201.2,30,
2025-09-19T13:57:15.622616,982590450,RHIB F314,69.338525,16.228037,4.9,30.6,35,
2025-09-19T13:57:15.622668,585900148,BUOY FALCH 82,69.236632,17.937302,0.0,96.7,0,
2025-09-19T13:57:15.622672,585900149,FDA WARNING 35,69.2819,17.908718,0.1,101.5,0,
2025-09-19T13:57:15.622681,585900220,DODRAUG2 88,70.639437,30.660903,2.2,308.3,0,
2025-09-19T13:57:15.622685,585900225,JENS 1 47,69.42611,18.452832,0.3,290.9,0,
2025-09-19T13:57:15.622689,585900237,JENS 2 49,69.413773,18.458245,0.2,308.0,0,
2025-09-19T13:57:15.622693,585900259,NORSOL 2 79,69.027968,16.220473,1.2,310.3,0,
2025-09-19T13:57:15.622697,585900264,NORSOL 3 61,69.00321,16.139058,0.8,258.1,0,
2025-09-19T13:57:15.622701,585900265,NORSOL 1 97,68.955182,16.087282,0.7,207.0,0,
2025-09-19T13:57:15.622705,585900266,NORSOL 5 19,69.082813,16.144993,1.6,345.3,0,
2025-09-19T13:57:15.622709,585900267,NORSOL 4 56,68.97283,16.098677,0.5,325.3,0,
2025-09-19T13:57:15.622713,585900273,BUOY SL 1 83,69.531415,17.980788,0.4,334.0,0,
2025-09-19T13:57:15.622717,585900274,BUOY SL 2 70,69.535352,18.08411,0.9,278.7,0,
2025-09-19T13:57:15.622786,538003746,KANARIS,68.430605,17.40262,0.0,236.9,70,
2025-09-19T13:57:15.622807,265472000,STOCKHOLM,78.473105,16.069305,8.0,2.5,70,
2025-09-19T13:57:15.622833,273845800,VASILIY GOLOVNIN,74.845,15.723333333333333,3.0,167.0,30,
