timestamp,mmsi,name,latitude,longitude,speed,course,vessel_type
2025-09-19T12:42:20.723615,109080479,ANGELSEN SR,68.808177,13.148163,1.7,204.0,0
2025-09-19T12:42:20.723616,109080480,ANGELSEN SR,68.800923,13.048013,1.1,84.2,0
2025-09-19T12:42:20.723618,109080481,ANGELSEN SR,68.796242,13.096485,1.3,302.7,0
2025-09-19T12:42:20.723619,109080485,ANGELSEN SR,68.797075,13.11808,1.5,25.0,0
2025-09-19T12:42:20.723625,109080673,ANGELSEN SR,68.720627,13.057147,1.8,105.6,0
2025-09-19T12:42:20.723627,109080675,ANGELSEN SR,68.798455,13.057583,3.1,160.3,0
2025-09-19T12:42:20.723652,244178000,SHETLAND,66.193467,11.435983,10.5,202.0,70
2025-09-19T12:42:20.723661,235051012,NAVAL AUXILIARY,69.980663,20.038908,13.5,30.0,35
2025-09-19T12:42:20.723664,563175900,ARMADA 78 03,66.70833333333333,5.8966666666666665,10.0,316.0,70
2025-09-19T12:42:20.723724,218004830,JAN MARIA,69.698015,19.075277,0.0,36.3,30
2025-09-19T12:42:20.723738,273522400,ZAKHAR SOROKIN,70.614515,18.7741,3.3,276.8,30
2025-09-19T12:42:20.723740,273447010,ALFERAS,71.95708,25.711477,9.8,312.2,30
2025-09-19T12:42:20.723767,276842000,MERIKE,76.194915,35.955818,2.4,267.3,30
2025-09-19T12:42:20.723773,273296810,DMITRY MENDELEEV,66.820272,8.459993,11.3,25.4,80
2025-09-19T12:42:20.723775,314633000,WILSON DROGHEDA,66.212315,13.018473,0.0,140.9,70
2025-09-19T12:42:20.723786,273523300,ALEKSANDR MIRONENKO,71.233863,29.322108,10.1,129.8,30
2025-09-19T12:42:20.723789,232866000,M/S ISBJORNEN 2,69.687453,18.735438,0.0,140.8,90
2025-09-19T12:42:20.723796,273523400,YANTARNYY,70.06833333333334,14.17,13.0,59.0,30
2025-09-19T12:42:20.723808,212651000,ELISABETH J,68.049372,9.757127,13.0,207.6,80
2025-09-19T12:42:20.723829,982575641,MUNIN,78.223258,15.66202,0.0,,92
2025-09-19T12:42:20.723865,314635000,WILSON DUNDEE,66.327827,14.143493,0.0,284.8,70
2025-09-19T12:42:20.723873,109010419,RONJA BOUY 9,70.93246,25.80116,3.5,43.4,0
2025-09-19T12:42:20.723903,565369000,COSL PROSPECTOR,70.626972,23.6417,0.0,229.7,90
2025-09-19T12:42:20.723921,212654000,BORIS VILKITSKY,68.079387,9.75157,18.7,212.3,84
2025-09-19T12:42:20.723967,255801980,DINA STAR,67.037495,6.527463,0.5,269.0,70
2025-09-19T12:42:20.724012,273529800,BORIS SYROMYATNIKOV,70.787182,20.811433,4.1,277.8,30
2025-09-19T12:42:20.724029,412549626,FU YUAN YU 8633,66.88833333333334,4.3,57.0,164.0,30
2025-09-19T12:42:20.724030,412549628,FUYUANYU8620,68.41000000000001,-3.26,60.0,234.0,30
2025-09-19T12:42:20.724045,273379740,FRIO FORWIN,71.023707,18.926358,9.8,332.1,70
2025-09-19T12:42:20.724052,211753000,MARIA S. MERIAN,67.283202,3.212178,4.5,61.1,90
2025-09-19T12:42:20.724091,273532110,KURSHSKAYA KOSA,70.59155,19.269067,4.5,257.4,30
2025-09-19T12:42:20.724105,314416000,JUMBO,69.222855,18.079292,0.0,233.8,70
2025-09-19T12:42:20.724126,255806445,VASCO DA GAMA,70.310633,17.88675,11.4,41.1,60
2025-09-19T12:42:20.724128,255806463,WILSON FLEX IV,67.250183,15.423075,0.0,115.2,70
2025-09-19T12:42:20.724162,273534110,LIRA,70.619067,18.918717,16.0,103.0,30
2025-09-19T12:42:20.724196,982586740,OV SKOMVAER 2,68.795357,16.54408,0.1,,33
2025-09-19T12:42:20.724213,210400000,SEAPIPER,66.080852,8.063703,0.7,167.1,33
2025-09-19T12:42:20.724218,108040274,SF JENTA BUOY,70.12759,30.54851,1.4,145.9,0
2025-09-19T12:42:20.724253,304011026,THEBE,66.306392,14.116095,0.0,298.0,70
2025-09-19T12:42:20.724254,250002443,ARKLOW FOREST,66.805597,13.920215,3.6,84.5,70
2025-09-19T12:42:20.724260,231522000,HAV ATLANTIC,68.91271,15.065718,0.0,329.5,70
2025-09-19T12:42:20.724287,273537800,KARACHAROVO,76.168515,14.513967,3.0,197.2,30
2025-09-19T12:42:20.724303,273613930,BELOYE MORE,75.869942,14.054728,3.6,198.9,30
2025-09-19T12:42:20.724362,585900148,BUOY FALCH 82,69.236665,17.937328,0.0,93.6,0
2025-09-19T12:42:20.724363,585900149,FDA WARNING 35,69.28177,17.908167,0.0,204.3,0
2025-09-19T12:42:20.724365,585900220,DODRAUG2 88,70.639437,30.660903,2.2,308.3,0
2025-09-19T12:42:20.724367,585900225,JENS 1 48,69.42605,18.453945,0.2,334.8,0
2025-09-19T12:42:20.724369,585900237,JENS 2 50,69.412953,18.45726,0.4,133.8,0
2025-09-19T12:42:20.724370,585900259,NORSOL 2 79,69.027508,16.219982,1.2,71.1,0
